Âðåìÿ, [ñ];Ug, [êÂ];Pg, [ÌÂò];Qg, [ÌÂàð];Fg, [Ãö];Uf, [Â];If, [À]
101.1;212.7370339;362.4566169;-91.80975047;49.86335754;0.526556909;0.521547318
101.12;189.4322336;1050.668683;2130.881711;49.67224503;0.636622787;0.573228598
101.14;148.9882959;1272.712904;4372.776541;50.09784317;1.660531759;1.384618402
101.16;128.3789077;867.5092618;4202.767306;50.36093521;1.627538085;1.621273875
101.18;125.6340896;775.5392716;3616.179463;50.00346375;1.61518383;1.748235822
101.2;122.6461299;805.0010623;3475.385615;49.94934464;1.617837548;1.815603852
101.22;118.3871683;788.671301;3486.033541;49.99775696;1.620730281;1.849907398
101.24;131.1248019;541.1619173;3007.442497;50.27291489;1.639636874;1.861697435
101.26;164.9766032;187.7656757;1229.330128;50.21601486;1.706712723;1.264591455
101.28;188.9370679;187.0068538;-18.72352892;49.97506332;1.691194296;0.990656257
101.3;195.6728043;269.2480987;306.1119675;49.92351913;1.690427184;0.850947559
